ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
27279,JG100101,01/01/2023 05:54:00 AM,021XX W DIVISION ST,110,HOMICIDE,FIRST DEGREE MURDER,TAVERN,true,false,1212,12,1,24,01A,1161945,1907967,2023,07/09/2023 04:49:18 PM,41.903131319,-87.68058344,"(41.903131319, -87.68058344)"
27281,JG100440,01/01/2023 09:46:00 AM,106XX S STATE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,512,5,34,49,01A,1178141,1834245,2023,01/08/2023 03:47:29 PM,41.700477811,-87.623329654,"(41.700477811, -87.623329654)"
19237,HS102143,01/02/2010 04:17:00 PM,110XX S LOWE AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,2233,22,34,49,01A,1173942,1831677,2010,09/18/2022 04:45:51 PM,41.693524794,-87.638780573,"(41.693524794, -87.638780573)"
19238,HS101859,01/02/2010 09:44:00 PM,057XX S LOOMIS BLVD,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,713,7,16,67,01A,1167976,1866692,2010,08/31/2022 04:51:30 PM,41.789740875,-87.659619818,"(41.789740875, -87.659619818)"
19736,HT101536,01/02/2011 01:39:00 AM,001XX W 75TH ST,110,HOMICIDE,FIRST DEGREE MURDER,CLUB,true,false,623,6,6,69,01A,1176502,1855255,2011,09/18/2022 04:45:51 PM,41.758168911,-87.628701252,"(41.758168911, -87.628701252)"
19737,HT101536,01/02/2011 01:39:00 AM,001XX W 75TH ST,110,HOMICIDE,FIRST DEGREE MURDER,CLUB,true,false,623,6,6,69,01A,1176502,1855255,2011,09/18/2022 04:45:51 PM,41.758168911,-87.628701252,"(41.758168911, -87.628701252)"
20224,HV101396,01/02/2012 02:22:00 AM,030XX W LAWRENCE AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1713,17,33,14,01A,1155053,1931730,2012,09/18/2022 04:45:51 PM,41.968479866,-87.705259739,"(41.968479866, -87.705259739)"
20227,HV101433,01/02/2012 05:15:00 AM,107XX S COTTAGE GROVE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,513,5,9,50,01A,1182247,1833951,2012,09/18/2022 04:45:51 PM,41.699577165,-87.608304224,"(41.699577165, -87.608304224)"
20226,HV102145,01/02/2012 05:53:00 PM,066XX S WOLCOTT AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,726,7,15,67,01A,1164829,1860636,2012,09/18/2022 04:45:51 PM,41.773189519,-87.671329907,"(41.773189519, -87.671329907)"
20225,HV102221,01/02/2012 05:58:00 PM,024XX E 78TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,421,4,7,43,01A,1194033,1853729,2012,09/18/2022 04:45:51 PM,41.75356945,-87.56450286,"(41.75356945, -87.56450286)"
20752,HW101960,01/02/2013 03:15:00 PM,124XX S UNION AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,523,5,34,53,01A,1173906,1822480,2013,08/31/2022 04:51:30 PM,41.668287557,-87.639183666,"(41.668287557, -87.639183666)"
20753,HW102156,01/02/2013 06:45:00 PM,056XX S WESTERN AVE,110,HOMICIDE,FIRST DEGREE MURDER,GARAGE/AUTO REPAIR,false,false,824,8,16,63,01A,1161333,1867145,2013,09/18/2022 04:45:51 PM,41.791124233,-87.683965265,"(41.791124233, -87.683965265)"
23106,JA102078,01/02/2017 09:14:00 AM,025XX N LOWELL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2524,25,31,20,01A,1146958,1916498,2017,09/18/2022 04:45:51 PM,41.926840967,-87.735415625,"(41.926840967, -87.735415625)"
24891,JD101694,01/02/2020 02:19:00 PM,069XX S MICHIGAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,322,3,6,69,01A,1178364,1858948,2020,09/18/2022 04:45:51 PM,41.768260855,-87.621765291,"(41.768260855, -87.621765291)"
24889,JD101272,01/02/2020 02:54:00 AM,072XX S SOUTH SHORE DR,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,334,3,7,43,01A,1194878,1857803,2020,08/31/2022 04:51:30 PM,41.764728045,-87.561272312,"(41.764728045, -87.561272312)"
24890,JD101272,01/02/2020 03:17:00 AM,072XX S SOUTH SHORE DR,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,334,3,7,43,01A,1194878,1857803,2020,09/18/2022 04:45:51 PM,41.764728045,-87.561272312,"(41.764728045, -87.561272312)"
24892,JD102066,01/02/2020 07:02:00 PM,082XX S DREXEL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,631,6,8,44,01A,1183667,1850610,2020,08/31/2022 04:51:30 PM,41.745258504,-87.602587071,"(41.745258504, -87.602587071)"
25701,JE101671,01/02/2021 09:55:00 PM,031XX W OGDEN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1022,10,24,29,01A,1155480,1891550,2021,09/18/2022 04:45:51 PM,41.858213965,-87.704772409,"(41.858213965, -87.704772409)"
26546,JF100987,01/02/2022 05:11:00 AM,024XX S TRUMBULL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1024,10,22,30,01A,1153752,1887653,2022,09/18/2022 04:45:51 PM,41.847554681,-87.711218923,"(41.847554681, -87.711218923)"
26547,JF101663,01/02/2022 11:43:00 PM,052XX W VAN BUREN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1522,15,29,25,01A,1141528,1897510,2022,09/18/2022 04:45:51 PM,41.874837861,-87.755838422,"(41.874837861, -87.755838422)"
26548,JF101667,01/02/2022 11:55:00 PM,055XX S ABERDEEN ST,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,712,7,16,68,01A,1169930,1867969,2022,08/31/2022 04:51:30 PM,41.793202868,-87.652418003,"(41.793202868, -87.652418003)"
27286,JG528258,01/02/2023 01:02:00 PM,073XX S SEELEY AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,735,7,17,67,01A,1163963,1855988,2023,01/09/2023 03:49:05 PM,41.760453013,-87.674634948,"(41.760453013, -87.674634948)"
27321,HP349281,01/02/2023 07:00:00 AM,045XX N BROADWAY,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1914,19,46,3,01A,1168212,1930388,2023,01/29/2023 03:50:50 PM,41.964522471,-87.656913808,"(41.964522471, -87.656913808)"
19239,HS102573,01/03/2010 03:04:00 PM,059XX S WOLCOTT AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,714,7,15,67,01A,1164705,1865282,2010,09/18/2022 04:45:51 PM,41.785941369,-87.671653413,"(41.785941369, -87.671653413)"
